status,model,weights,run_name,imgsz,epochs,batch,box_precision,box_recall,box_mAP50,box_mAP50-95,mask_precision,mask_recall,mask_mAP50,mask_mAP50-95,best_model_path,error
ok,YOLOv8n-seg,yolov8n-seg.pt,yolov8n_seg_640_30ep,640,30,8,0.5530111808924056,0.6008891928864569,0.5925144364024717,0.4356572500338527,0.5594065314600447,0.602827177382581,0.5893466197404317,0.3915221626990274,/content/drive/MyDrive/DIS_PROJESI_007/runs/alphadent/yolov8n_seg_640_30ep/weights/best.pt,
ok,YOLOv8s-seg,yolov8s-seg.pt,yolov8s_seg_640_30ep,640,30,8,0.5690056566397458,0.6208105335157319,0.6051355233041746,0.4399204083067684,0.5638014305100725,0.6227485180118559,0.5824810016648319,0.39032711090297967,/content/drive/MyDrive/DIS_PROJESI_007/runs/alphadent/yolov8s_seg_640_30ep/weights/best.pt,
ok,YOLOv8m-seg,yolov8m-seg.pt,yolov8m_seg_640_30ep,640,30,4,0.5784823806030719,0.6235746474699073,0.6205839096229581,0.45979501771358383,0.6131259718055206,0.5855848153214774,0.612123561256956,0.41145727134622473,/content/drive/MyDrive/DIS_PROJESI_007/runs/alphadent/yolov8m_seg_640_30ep/weights/best.pt,
ok,YOLO11s-seg,yolo11s-seg.pt,yolo11s_seg_640_30ep,640,30,8,0.5589356874382899,0.5886567967241843,0.6016381853739095,0.43869592746366315,0.5316891964011243,0.6055061559507524,0.593423251280701,0.395780906516794,/content/drive/MyDrive/DIS_PROJESI_007/runs/alphadent/yolo11s_seg_640_30ep/weights/best.pt,
