status,model,weights,run_name,imgsz,epochs,batch,box_precision,box_recall,box_mAP50,box_mAP50-95,mask_precision,mask_recall,mask_mAP50,mask_mAP50-95,best_model_path,error
ok,YOLOv8m-seg,yolov8m-seg.pt,yolov8m_seg_640_30ep,640,30,4,0.578482,0.623575,0.620584,0.459795,0.613126,0.585585,0.612124,0.411457,/content/drive/MyDrive/DIS_PROJESI_007/runs/alphadent/yolov8m_seg_640_30ep/weights/best.pt,
ok,YOLOv8m-seg,/content/drive/MyDrive/DIS_PROJESI_007/runs/alphadent/yolov8m_seg_640_30ep/weights/best.pt,yolov8m_seg_768_75ep_finetune,768,75,4,0.5306704675461684,0.6399623803009576,0.6174833161620494,0.4579982052321606,0.5910568332646189,0.601420722001339,0.6081666341225602,0.4134825048008948,/content/drive/MyDrive/DIS_PROJESI_007/runs/alphadent/yolov8m_seg_768_75ep_finetune/weights/best.pt,
