status,model,model_type,weights,run_name,imgsz,epochs,batch,precision,recall,mAP50,mAP50-95,best_model_path,error
ok,YOLOv8n,yolo,yolov8n.pt,yolov8n_640_30ep,640,30,8,0.005913489761634666,0.40403889552635075,0.014096933241119538,0.004037265381359709,/content/drive/MyDrive/DIS_PROJESI_007/runs/dentex/yolov8n_640_30ep/weights/best.pt,
ok,YOLOv8s,yolo,yolov8s.pt,yolov8s_768_30ep,768,30,8,0.014987120017655222,0.4358738218505243,0.01587215294177805,0.004526035815223978,/content/drive/MyDrive/DIS_PROJESI_007/runs/dentex/yolov8s_768_30ep/weights/best.pt,
ok,YOLOv8m,yolo,yolov8m.pt,yolov8m_768_30ep,768,30,4,0.00629666516382954,0.38917098101685915,0.013507308217502413,0.003939949151205907,/content/drive/MyDrive/DIS_PROJESI_007/runs/dentex/yolov8m_768_30ep/weights/best.pt,
ok,YOLO11s,yolo,yolo11s.pt,yolo11s_768_30ep,768,30,8,0.017452516929920964,0.44830246913580246,0.02106731662343556,0.006000324450591647,/content/drive/MyDrive/DIS_PROJESI_007/runs/dentex/yolo11s_768_30ep/weights/best.pt,
ok,RT-DETR-l,rtdetr,rtdetr-l.pt,rtdetr_l_640_30ep,640,30,4,0.6841558931184105,0.13306451612903225,0.02285341490121162,0.005516090383804106,/content/drive/MyDrive/DIS_PROJESI_007/runs/dentex/rtdetr_l_640_30ep/weights/best.pt,
