status,model,model_type,weights,run_name,imgsz,epochs,batch,precision,recall,mAP50,mAP50-95,best_model_path,error
ok,RT-DETR-l,rtdetr,rtdetr-l.pt,rtdetr_l_640_30ep,640,30,4,0.8876441609637599,0.8897535667963683,0.9502949068602573,0.7583481386863652,/content/drive/MyDrive/DIS_PROJESI_007/runs/intraoral_caries/rtdetr_l_640_30ep/weights/best.pt,
ok,YOLO11s,yolo,yolo11s.pt,yolo11s_640_30ep,640,30,8,0.8775998568372996,0.8845654993514915,0.9494968495063045,0.7547171743564909,/content/drive/MyDrive/DIS_PROJESI_007/runs/intraoral_caries/yolo11s_640_30ep/weights/best.pt,
ok,YOLOv8n,yolo,yolov8n.pt,yolov8n_640_30ep,640,30,8,0.8529884517039705,0.9092088197146563,0.9453754324676553,0.7485687400712784,/content/drive/MyDrive/DIS_PROJESI_007/runs/intraoral_caries/yolov8n_640_30ep/weights/best.pt,
ok,YOLOv8s,yolo,yolov8s.pt,yolov8s_640_30ep,640,30,8,0.8496309818703571,0.9260700389105059,0.9450000034040389,0.7471830270200102,/content/drive/MyDrive/DIS_PROJESI_007/runs/intraoral_caries/yolov8s_640_30ep/weights/best.pt,
ok,YOLOv8m,yolo,yolov8m.pt,yolov8m_640_30ep,640,30,4,0.8369541372171668,0.9079118028534371,0.9430053491517408,0.7471307652693233,/content/drive/MyDrive/DIS_PROJESI_007/runs/intraoral_caries/yolov8m_640_30ep/weights/best.pt,
