dataset,task,final_model,path,exists
DENTEX 2023,Object detection,RT-DETR-l,/content/drive/MyDrive/DIS_PROJESI_007/final_models/dentex/dentex_best_model_rtdetr_l_640_30ep.pt,True
AlphaDent,Instance segmentation,YOLOv8m-seg,/content/drive/MyDrive/DIS_PROJESI_007/final_models/alphadent/alphadent_selected_best_yolov8m_seg_640_30ep.pt,True
Intraoral Caries,Object detection,RT-DETR-l,/content/drive/MyDrive/DIS_PROJESI_007/final_models/intraoral_caries/intraoral_best_model_rtdetr_l_640_30ep.pt,True
AlphaDent,Semantic segmentation,DeepLabV3+ ResNet34,/content/drive/MyDrive/DIS_PROJESI_007/final_models/alphadent_deeplab/alphadent_deeplabv3plus_resnet34_512_30ep_best.pth,True
