dataset,image_type,task,final_model,run_name,imgsz,epochs,main_metric_name,main_metric_value,secondary_metric_name,secondary_metric_value,precision,recall,final_model_path
DENTEX 2023,Panoramic dental X-ray,Object detection,RT-DETR-l,rtdetr_l_640_30ep,640,30,mAP50,0.022853,mAP50-95,0.005516,0.684156,0.133065,/content/drive/MyDrive/DIS_PROJESI_007/final_models/dentex/dentex_best_model_rtdetr_l_640_30ep.pt
AlphaDent,Intraoral dental image,Instance segmentation,YOLOv8m-seg,yolov8m_seg_640_30ep,640,30,mask_mAP50,0.612124,mask_mAP50-95,0.411457,0.613126,0.585585,/content/drive/MyDrive/DIS_PROJESI_007/final_models/alphadent/alphadent_selected_best_yolov8m_seg_640_30ep.pt
Intraoral Caries,Intraoral dental image,Object detection,RT-DETR-l,rtdetr_l_640_30ep,640,30,mAP50,0.950295,mAP50-95,0.758348,0.887644,0.889754,/content/drive/MyDrive/DIS_PROJESI_007/final_models/intraoral_caries/intraoral_best_model_rtdetr_l_640_30ep.pt
AlphaDent,Intraoral dental image,Semantic segmentation,DeepLabV3+ ResNet34,deeplabv3plus_resnet34_512_30ep,512,30,val_mIoU,0.37288,best_epoch,16.0,,,/content/drive/MyDrive/DIS_PROJESI_007/final_models/alphadent_deeplab/alphadent_deeplabv3plus_resnet34_512_30ep_best.pth
